Nom de l'association;Secteur d'activité;Ville;Adresse postale;Code postal;Adresse email;Téléphone;Statut de publication;Statut légal;Date de déclaration;Date de modification;Administrateur;N°RNA;N°SIRET;IdAssociation
Amicale reunionnaise des alpes;Rencontre;Digne-les-Bains;8, avenue demontzey;04000;;;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;bf8696c9-75cf-4c6d-a9dc-bc7cec408c62
Amicale ut04;"Social Entraide; Organisation de professions (hors caractère syndical); Amicale, groupement d'entraide, solidarité ";Digne-les-Bains;Rue du Trelus;04000;;;Publiée;Déclarée;20/02/2013;22/08/2016 (System);Non;W043002006;;ae16ad3f-1d55-410d-9360-36e0ead1cacd
Amiposte p.t.t. 04;Autres catégories;Digne-les-Bains;Direction départementale de la poste, 4, rue honorat;04008;;;Publiée;Dissoute;;03/09/2015 (Jean-Christophe LEONARD);Non;;;9ba7fadc-08f9-49ae-8dae-f986c4347011
Amis des enfants du monde;Défense des libertés publiques et des droits de l'Homme;Digne-les-Bains;7, rue de l'avenir;04000;;0492310922;Publiée;Déclarée;01/01/1900;25/04/2014 (System);Non;;;cc1eb922-c0c6-41c4-90b8-e71a794cabad
Amities digne-bergen;"Social Entraide; Interventions sociales";Digne-les-Bains;11, chemin du tivoli;04000;;;Publiée;Déclarée;;16/06/2015 (System);Non;;;143b796e-197b-4de4-a17b-e84bab559469
Amnesty international;Défense des libertés publiques et des droits de l'Homme;Digne-les-Bains;83, avenue de verdun;04000;amnesty.dignelesbains@gmail.com;0492313308;Publiée;Déclarée;01/01/1900;23/02/2016 (Régis Coulange);Oui;;;4ff31cb6-fa38-4150-9abc-7c287ea52efe
Ananda;"Recherche; Santé et Protection civile; Education, Formation, Recherche";Digne-les-Bains;4, place du docteur-honnorat, le palladio n  59;04000;;;Publiée;Déclarée;20/10/2006;03/09/2015 (Jean-Christophe LEONARD);Non;;;bb79c155-8ead-4387-8a15-bd18ec9a3209
Animation decouverte rencontre environnement tourisme (A.D.R.E.T.);Environnement, Développement durable;Digne-les-Bains;8 Rue du Jeu de Paume;04000;;;Publiée;Dissoute;;07/06/2015 (System);Non;;;03fef924-7c6a-4a3a-969c-2bb7fa6bf659
Animation robinoise;"Loisirs; Actions socio-culturelles, centres de loisirs ";La Robine-sur-Galabre;Local des associations, le forest;04000;;;Publiée;Déclarée;20/05/2001;22/06/2015 (System);Non;;;ef6674ff-9933-4b39-9f4d-b2e35054871b
Animation scolaire d'oc - alpes-de-haute-provence;Art et Culture;Digne-les-Bains;1 Rue Louise Espié;04000;;;Publiée;Déclarée;20/10/2005;10/06/2015 (System);Non;;;bbeddb31-b514-4ae0-b34c-b930bbb7f4aa
Antenne departementale decentralisee 04 du centre d'information, de documentation, d'etude et de formation des elus (CIDEFE);"Recherche; Recherche sur la vie sociale et politique; Politique; Education, Formation, Recherche";Digne-les-Bains;26, rue alphonse richard;04000;;;Publiée;Déclarée;30/12/2008;12/06/2015 (System);Non;W043000188;;2ecf552e-b514-47b9-945c-6234af862ab4
Appase;Loisirs;Digne-les-Bains;13 avenue paul martin;04000;contact@appase.fr;;Publiée;Déclarée;;24/04/2014 (System);Non;;;0dbfa6e6-5729-4898-a0be-89167b2a3659
Apprehender le monde economique et professionnel (AMEP);"Social Entraide; Economie; Interventions sociales";Digne-les-Bains;40, avenue henri-jaubert;04000;;;Publiée;Déclarée;20/03/2001;23/06/2015 (System);Non;;;7d2de5f6-7547-437c-a37f-8c57eb36502d
Armataplanet.com espace culturel virtuel;"Recherche; Actions socio-culturelles, centres de loisirs ; Art et Culture";Barrême;Village de senez;04330;webmaster@armataplanet.com;;Publiée;Déclarée;;16/04/2016 (System);Non;;;c5129dd4-dd0d-4221-9365-35ba646730fd
Art couture creation;Loisirs;Digne-les-Bains;2 rue capitoul;04000;art.couture.creation@orange.fr;0492315744;Publiée;Déclarée;;25/04/2014 (System);Non;;;69290f93-97f8-49d6-9a43-c8e5f394e3c2
Art en ciel;"Hôpitaux et autres centres médicaux; Service et établissements médico-sociaux; Santé et Protection civile; Prévention et lutte contre alcoolisme, tabagisme, toxicomanie ";Digne-les-Bains;Quartier st christophe, bp 213;04000;;;Publiée;Déclarée;20/09/2012;18/04/2016 (System);Non;W043001965;;cc369007-50c7-4f97-8c62-424dc308138d
Art'monie;Art et Culture;Digne-les-Bains;La Sapinière, bâtiment C, appartement 27, 11, avenue François-Cuzin;04000;;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;11c5eae1-1899-43c4-8b66-4e4af085e207
Art terre;"Loisirs; Art et Culture";Digne-les-Bains;Vaumet-les-dourbes;04000;;0492356859;Publiée;Déclarée;20/06/2001;23/06/2015 (System);Non;;;d793beea-3543-493a-aab3-1fc3eede36ad
Artemine;"Arts graphiques et plastiques; Activités artistiques; Art et Culture";Barrême;Rue Principale;04330;;;Publiée;Déclarée;20/04/2009;14/06/2015 (System);Non;W043000390;;cebb28d3-aed4-46c3-9bad-20d3cea575ac
Articomest;"Défense des droits fondamentaux, activités civiques; Justice; Economie";Estoublon;Bar du xxe siècle;04270;;;Publiée;Déclarée;23/12/2004;10/06/2015 (System);Non;;;4dc4acd2-b6e9-4469-92f3-1ba4453dbfe5
Artisan formation 04;"Centre d'enseignement et de formation; Établissement de formation professionnelle et continue; Education, Formation, Recherche";Digne-les-Bains;1 bis,, avenue des charrois;04000;;;Publiée;Déclarée;20/06/2010;15/06/2015 (System);Non;W043000737;;a896096d-f399-4699-9060-e914e60fdb4f
Artisans de notre avenir des alpes-de-haute-provence;"Groupements professionnels; Economie; Représentation, promotion et défense d'intérêts économiques";Digne-les-Bains;8,, place des cordeliers;04000;;;Publiée;Déclarée;20/03/2012;17/04/2016 (System);Non;W043001915;;f1c8f270-7214-421c-9a3a-bcb66699be78
Artisans du monde;Humanitaire et Caritatif;Digne-les-Bains;1, place du marché;04000;digne@artisansdumonde.org;0492354040;Publiée;Déclarée;01/01/1900;27/03/2015 (sandrine Fabry);Non;;;0031f9a2-81dc-4bfb-8382-280d645e458a
Arts et perspectives en provence;"Danse; Loisirs; Littérature; Activités artistiques; Art et Culture";Digne-les-Bains;2 Chemin des Augiers;04000;artsetperspectives@yahoo.fr;0663515421;Publiée;Déclarée;20/01/2012;17/04/2016 (System);Non;W043001906;;21a70d4a-44fe-4bd1-a7fe-8ec5e7bc628f
Arts et yoga en liberte;"Recherche; Art et Culture; Education, Formation, Recherche";Digne-les-Bains;8, place pied-de-ville;04000;;;Publiée;Déclarée;20/07/2002;16/04/2016 (System);Non;;;7dd58cd9-e368-4e10-a31e-80731ef80195
Arts scene;"Théâtre; Activités artistiques; Art et Culture";Digne-les-Bains;11,, boulevard saint jean chrysostome;04000;;;Publiée;Déclarée;20/12/2010;16/06/2015 (System);Non;W043001791;;a0de978a-bfae-40e2-8248-3f6df87cf2ae
As de pic (ASSOCIATION POUR LE DEVELOPPEMENT ET LA PRODUCTION D'INNOVATIONS CULTURELLES);"Recherche; Audiovisuel; Art et Culture; Information et Communication";Digne-les-Bains;Lycée alexandra-david-neel, 17, avenue du général-leclerc;04000;shiva.m.1@caramail.com;;Publiée;Déclarée;;15/04/2016 (System);Non;;;4a2a5dee-d8b4-40d1-8dd6-6114012c33b4
